nohup: ignoring input
Namespace(batchSize=64, chop=False, cuda=True, loss='1*L1', lr=0.0001, nEpochs=1000, patchSize=64, pre_train=None, rgb_range=255, seed=123, testBatchSize=1, threads=4)
===> Loading datasets
===> Building model
===> Epoch[1](388/1860): Loss: 0.019168
===> Epoch[1](389/1860): Loss: 0.017586
===> Epoch[1](390/1860): Loss: 0.017241
===> Epoch[1](391/1860): Loss: 0.016793
===> Epoch[1](392/1860): Loss: 0.017712
===> Epoch[1](393/1860): Loss: 0.016921
===> Epoch[1](394/1860): Loss: 0.015400
===> Epoch[1](395/1860): Loss: 0.016877
===> Epoch[1](396/1860): Loss: 0.018932
===> Epoch[1](397/1860): Loss: 0.018322
===> Epoch[1](398/1860): Loss: 0.017747
===> Epoch[1](399/1860): Loss: 0.018671
===> Epoch[1](400/1860): Loss: 0.018047
===> Epoch[1](401/1860): Loss: 0.017895
===> Epoch[1](402/1860): Loss: 0.017388
===> Epoch[1](403/1860): Loss: 0.017674
===> Epoch[1](404/1860): Loss: 0.018010
===> Epoch[1](405/1860): Loss: 0.017277
===> Epoch[1](406/1860): Loss: 0.018240
===> Epoch[1](407/1860): Loss: 0.018490
===> Epoch[1](408/1860): Loss: 0.017221
===> Epoch[1](409/1860): Loss: 0.017887
===> Epoch[1](410/1860): Loss: 0.016400
===> Epoch[1](411/1860): Loss: 0.018284
===> Epoch[1](412/1860): Loss: 0.016473
===> Epoch[1](413/1860): Loss: 0.017182
===> Epoch[1](414/1860): Loss: 0.017131
===> Epoch[1](415/1860): Loss: 0.016746
===> Epoch[1](416/1860): Loss: 0.018975
===> Epoch[1](417/1860): Loss: 0.016390
===> Epoch[1](418/1860): Loss: 0.018455
===> Epoch[1](419/1860): Loss: 0.017944
===> Epoch[1](420/1860): Loss: 0.019141
===> Epoch[1](421/1860): Loss: 0.017893
===> Epoch[1](422/1860): Loss: 0.017670
===> Epoch[1](423/1860): Loss: 0.017451
===> Epoch[1](424/1860): Loss: 0.016518
===> Epoch[1](425/1860): Loss: 0.017651
===> Epoch[1](426/1860): Loss: 0.017623
===> Epoch[1](427/1860): Loss: 0.018135
===> Epoch[1](428/1860): Loss: 0.020031
===> Epoch[1](429/1860): Loss: 0.015582
===> Epoch[1](430/1860): Loss: 0.018108
===> Epoch[1](431/1860): Loss: 0.017185
===> Epoch[1](432/1860): Loss: 0.016624
===> Epoch[1](433/1860): Loss: 0.017591
===> Epoch[1](434/1860): Loss: 0.019019
===> Epoch[1](435/1860): Loss: 0.016300
===> Epoch[1](436/1860): Loss: 0.019184
===> Epoch[1](437/1860): Loss: 0.016410
===> Epoch[1](438/1860): Loss: 0.016307
===> Epoch[1](439/1860): Loss: 0.017803
===> Epoch[1](440/1860): Loss: 0.017292
===> Epoch[1](441/1860): Loss: 0.019520
===> Epoch[1](442/1860): Loss: 0.018580
===> Epoch[1](443/1860): Loss: 0.016910
===> Epoch[1](444/1860): Loss: 0.016564
===> Epoch[1](445/1860): Loss: 0.017224
===> Epoch[1](446/1860): Loss: 0.017341
===> Epoch[1](447/1860): Loss: 0.018931
===> Epoch[1](448/1860): Loss: 0.017251
===> Epoch[1](449/1860): Loss: 0.016782
===> Epoch[1](450/1860): Loss: 0.019068
===> Epoch[1](451/1860): Loss: 0.016618
===> Epoch[1](452/1860): Loss: 0.017107
===> Epoch[1](453/1860): Loss: 0.017056
===> Epoch[1](454/1860): Loss: 0.017915
===> Epoch[1](455/1860): Loss: 0.017782
===> Epoch[1](456/1860): Loss: 0.018305
===> Epoch[1](457/1860): Loss: 0.016097
===> Epoch[1](458/1860): Loss: 0.017636
===> Epoch[1](459/1860): Loss: 0.020784
===> Epoch[1](460/1860): Loss: 0.017442
===> Epoch[1](461/1860): Loss: 0.017474
===> Epoch[1](462/1860): Loss: 0.016576
===> Epoch[1](463/1860): Loss: 0.016114
===> Epoch[1](464/1860): Loss: 0.018602
===> Epoch[1](465/1860): Loss: 0.017822
===> Epoch[1](466/1860): Loss: 0.019481
===> Epoch[1](467/1860): Loss: 0.018110
===> Epoch[1](468/1860): Loss: 0.018594
===> Epoch[1](469/1860): Loss: 0.015965
===> Epoch[1](470/1860): Loss: 0.017944
===> Epoch[1](471/1860): Loss: 0.018160
===> Epoch[1](472/1860): Loss: 0.016993
===> Epoch[1](473/1860): Loss: 0.018655
===> Epoch[1](474/1860): Loss: 0.017349
===> Epoch[1](475/1860): Loss: 0.016680
===> Epoch[1](476/1860): Loss: 0.016740
===> Epoch[1](477/1860): Loss: 0.017902
===> Epoch[1](478/1860): Loss: 0.020225
===> Epoch[1](479/1860): Loss: 0.015802
===> Epoch[1](480/1860): Loss: 0.017785
===> Epoch[1](481/1860): Loss: 0.018877
===> Epoch[1](482/1860): Loss: 0.018148
===> Epoch[1](483/1860): Loss: 0.015775
===> Epoch[1](484/1860): Loss: 0.018320
===> Epoch[1](485/1860): Loss: 0.016181
===> Epoch[1](486/1860): Loss: 0.017314
===> Epoch[1](487/1860): Loss: 0.016966
===> Epoch[1](488/1860): Loss: 0.017118
===> Epoch[1](489/1860): Loss: 0.018297
===> Epoch[1](490/1860): Loss: 0.017182
===> Epoch[1](491/1860): Loss: 0.016705
===> Epoch[1](492/1860): Loss: 0.018431
===> Epoch[1](493/1860): Loss: 0.016509
===> Epoch[1](494/1860): Loss: 0.018044
===> Epoch[1](495/1860): Loss: 0.017178
===> Epoch[1](496/1860): Loss: 0.018880
===> Epoch[1](497/1860): Loss: 0.016389
===> Epoch[1](498/1860): Loss: 0.016619
===> Epoch[1](499/1860): Loss: 0.017983
===> Epoch[1](500/1860): Loss: 0.017902
===> Epoch[1](501/1860): Loss: 0.016279
===> Epoch[1](502/1860): Loss: 0.019377
===> Epoch[1](503/1860): Loss: 0.017133
===> Epoch[1](504/1860): Loss: 0.018702
===> Epoch[1](505/1860): Loss: 0.020362
===> Epoch[1](506/1860): Loss: 0.018046
===> Epoch[1](507/1860): Loss: 0.015614
===> Epoch[1](508/1860): Loss: 0.016749
===> Epoch[1](509/1860): Loss: 0.017564
===> Epoch[1](510/1860): Loss: 0.018803
===> Epoch[1](511/1860): Loss: 0.017697
===> Epoch[1](512/1860): Loss: 0.017541
===> Epoch[1](513/1860): Loss: 0.017916
===> Epoch[1](514/1860): Loss: 0.016732
===> Epoch[1](515/1860): Loss: 0.017557
===> Epoch[1](516/1860): Loss: 0.016635
===> Epoch[1](517/1860): Loss: 0.016733
===> Epoch[1](518/1860): Loss: 0.019421
===> Epoch[1](519/1860): Loss: 0.015768
===> Epoch[1](520/1860): Loss: 0.018412
===> Epoch[1](521/1860): Loss: 0.017279
===> Epoch[1](522/1860): Loss: 0.018055
===> Epoch[1](523/1860): Loss: 0.017200
===> Epoch[1](524/1860): Loss: 0.018446
===> Epoch[1](525/1860): Loss: 0.017037
===> Epoch[1](526/1860): Loss: 0.015033
===> Epoch[1](527/1860): Loss: 0.017926
===> Epoch[1](528/1860): Loss: 0.018756
===> Epoch[1](529/1860): Loss: 0.016457
===> Epoch[1](530/1860): Loss: 0.018030
===> Epoch[1](531/1860): Loss: 0.018674
===> Epoch[1](532/1860): Loss: 0.017381
===> Epoch[1](533/1860): Loss: 0.016330
===> Epoch[1](534/1860): Loss: 0.019298
===> Epoch[1](535/1860): Loss: 0.017837
===> Epoch[1](536/1860): Loss: 0.017390
===> Epoch[1](537/1860): Loss: 0.017874
===> Epoch[1](538/1860): Loss: 0.018273
===> Epoch[1](539/1860): Loss: 0.017052
===> Epoch[1](540/1860): Loss: 0.018076
===> Epoch[1](541/1860): Loss: 0.018900
===> Epoch[1](542/1860): Loss: 0.019064
===> Epoch[1](543/1860): Loss: 0.017880
===> Epoch[1](544/1860): Loss: 0.018162
===> Epoch[1](545/1860): Loss: 0.016494
===> Epoch[1](546/1860): Loss: 0.017579
===> Epoch[1](547/1860): Loss: 0.017846
===> Epoch[1](548/1860): Loss: 0.018151
===> Epoch[1](549/1860): Loss: 0.018239
===> Epoch[1](550/1860): Loss: 0.018156
===> Epoch[1](551/1860): Loss: 0.017715
===> Epoch[1](552/1860): Loss: 0.016482
===> Epoch[1](553/1860): Loss: 0.017600
===> Epoch[1](554/1860): Loss: 0.016213
===> Epoch[1](555/1860): Loss: 0.016352
===> Epoch[1](556/1860): Loss: 0.016393
===> Epoch[1](557/1860): Loss: 0.017156
===> Epoch[1](558/1860): Loss: 0.016908
===> Epoch[1](559/1860): Loss: 0.017135
===> Epoch[1](560/1860): Loss: 0.016330
===> Epoch[1](561/1860): Loss: 0.016883
===> Epoch[1](562/1860): Loss: 0.016068
===> Epoch[1](563/1860): Loss: 0.016526
===> Epoch[1](564/1860): Loss: 0.019716
===> Epoch[1](565/1860): Loss: 0.016628
===> Epoch[1](566/1860): Loss: 0.018649
===> Epoch[1](567/1860): Loss: 0.016841
===> Epoch[1](568/1860): Loss: 0.018598
===> Epoch[1](569/1860): Loss: 0.018224
===> Epoch[1](570/1860): Loss: 0.017392
===> Epoch[1](571/1860): Loss: 0.016218
===> Epoch[1](572/1860): Loss: 0.018689
===> Epoch[1](573/1860): Loss: 0.017362
